category,count,accuracy,vqa_soft,substring,char_sim,llm_judge
brand,113,0.6549,0.6106,0.7345,0.8254,0.8155
color,7,0.8571,0.8571,0.8571,0.9143,0.9515
date_year,22,0.5,0.5,0.5,0.8295,0.8245
number,113,0.5575,0.5192,0.6637,0.7051,0.8301
other,471,0.5308,0.4897,0.6667,0.7423,0.7818
price,17,0.4706,0.4314,0.6471,0.7529,0.7739
text_read,173,0.4509,0.4258,0.6243,0.7397,0.7432
time,27,0.1111,0.0864,0.1852,0.5933,0.6731
yes_no,57,0.9474,0.8889,0.9474,0.955,0.986
