category,count,accuracy,vqa_soft,substring,char_sim,llm_judge
brand,113,0.6903,0.6401,0.7345,0.8232,0.82
color,7,0.8571,0.8571,0.8571,0.9143,0.9515
date_year,22,0.5,0.5,0.5,0.8409,0.8295
number,113,0.5664,0.5251,0.6637,0.7097,0.8256
other,471,0.4926,0.4572,0.6815,0.7298,0.7684
price,17,0.4118,0.3333,0.5294,0.678,0.7614
text_read,173,0.3873,0.3468,0.6301,0.6692,0.6956
time,27,0.1481,0.1235,0.2222,0.5995,0.6731
yes_no,57,0.9298,0.8772,0.9298,0.9374,0.9813
