category,count,accuracy,vqa_soft,substring,char_sim,llm_judge
brand,113,0.6726,0.6283,0.7434,0.8354,0.8314
color,7,0.8571,0.8571,0.8571,0.8857,0.9368
date_year,22,0.5,0.5,0.5,0.8636,0.8203
number,113,0.5487,0.5103,0.6726,0.7067,0.8303
other,471,0.5202,0.4841,0.6794,0.7483,0.7804
price,17,0.4118,0.3725,0.4706,0.7235,0.8065
text_read,173,0.4451,0.4046,0.6416,0.7143,0.7246
time,27,0.1481,0.1235,0.2593,0.613,0.6876
yes_no,57,0.9649,0.9123,0.9649,0.9696,0.9906
