category,count,accuracy,vqa_soft,substring,char_sim,llm_judge
brand,113,0.6372,0.6047,0.6903,0.8091,0.7955
color,7,0.8571,0.8571,0.8571,0.8857,0.9368
date_year,22,0.5455,0.5455,0.5455,0.8295,0.8257
number,113,0.5575,0.5162,0.6903,0.7184,0.8254
other,471,0.4565,0.4246,0.6391,0.7108,0.7514
price,17,0.4706,0.4314,0.5882,0.7783,0.7976
text_read,173,0.4162,0.3757,0.6243,0.6919,0.6983
time,27,0.1481,0.1235,0.2222,0.6115,0.6827
yes_no,57,0.9123,0.8538,0.9298,0.9275,0.9766
