category,count,accuracy,vqa_soft,substring,char_sim,llm_judge
brand,21,0.7619,0.6984,0.8095,0.9047,0.8782
color,2,1.0,1.0,1.0,1.0,1.0
date_year,6,0.5,0.5,0.5,0.875,0.7481
number,27,0.4444,0.3951,0.5926,0.6633,0.7866
other,86,0.4884,0.4225,0.6628,0.6991,0.7486
price,4,0.25,0.25,0.25,0.6706,0.772
text_read,38,0.3421,0.307,0.5789,0.6557,0.6967
time,8,0.125,0.125,0.25,0.6314,0.6937
yes_no,8,1.0,1.0,1.0,1.0,1.0
