category,count,accuracy,vqa_soft,substring,char_sim,llm_judge
brand,113,0.6549,0.6106,0.7257,0.828,0.8147
color,7,0.8571,0.8571,0.8571,0.9091,0.9482
date_year,22,0.5,0.5,0.5,0.8182,0.8031
number,113,0.5664,0.528,0.6637,0.7026,0.8283
other,471,0.5244,0.4876,0.673,0.7424,0.7779
price,17,0.4706,0.4314,0.5882,0.7852,0.7957
text_read,173,0.4566,0.4277,0.6301,0.7366,0.7445
time,27,0.1481,0.1235,0.2222,0.618,0.6851
yes_no,57,0.9298,0.8713,0.9298,0.9398,0.9813
