category,count,accuracy,vqa_soft,substring,char_sim,llm_judge
brand,113,0.6726,0.6224,0.7345,0.8395,0.8205
color,7,0.8571,0.8571,0.8571,0.9143,0.9515
date_year,22,0.5,0.5,0.5,0.8409,0.8295
number,113,0.5664,0.528,0.6726,0.7093,0.8333
other,471,0.5265,0.4827,0.6773,0.7453,0.782
price,17,0.5294,0.451,0.6471,0.8157,0.8229
text_read,173,0.4393,0.4123,0.6301,0.7252,0.7327
time,27,0.1481,0.1235,0.2222,0.5889,0.6748
yes_no,57,0.9298,0.8772,0.9298,0.9368,0.9813
